Kategorie,Frage,Antwort
CC-BY 2.0 (France) Attribution: tatoeba.org #2230771 (CK) & #1853898 (Tamy),Geh jetzt!,Go now.
CC-BY 2.0 (France) Attribution: tatoeba.org #320484 (CM) & #5253180 (christian42),Verstanden!,Got it!
CC-BY 2.0 (France) Attribution: tatoeba.org #320484 (CM) & #5622431 (list),Aha!,Got it!
CC-BY 2.0 (France) Attribution: tatoeba.org #320484 (CM) & #8597813 (Roujin),Ich habs!,Got it!
CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (FeuDRenais) & #455377 (MUIRIEL),Kapiert?,Got it?
CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (FeuDRenais) & #455452 (Zaghawa),Verstanden?,Got it?
CC-BY 2.0 (France) Attribution: tatoeba.org #455353 (FeuDRenais) & #1808892 (Tamy),Einverstanden?,Got it?
CC-BY 2.0 (France) Attribution: tatoeba.org #672229 (CK) & #1401396 (Esperantostern),Er rannte.,He ran.
CC-BY 2.0 (France) Attribution: tatoeba.org #672229 (CK) & #1401397 (Esperantostern),Er lief.,He ran.
CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #4659678 (AC),Mach mit!,Hop in.
CC-BY 2.0 (France) Attribution: tatoeba.org #1111548 (Scott) & #8876304 (Yorwba),Spring rein!,Hop in.
CC-BY 2.0 (France) Attribution: tatoeba.org #1852504 (CK) & #1846595 (Pfirsichbaeumchen),Drück mich!,Hug me.
CC-BY 2.0 (France) Attribution: tatoeba.org #1852504 (CK) & #1846597 (Pfirsichbaeumchen),Nimm mich in den Arm!,Hug me.
CC-BY 2.0 (France) Attribution: tatoeba.org #1852504 (CK) & #1854006 (Pfirsichbaeumchen),Umarme mich!,Hug me.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397687 (CK) & #604208 (BraveSentry),Mir ist es wichtig.,I care.
CC-BY 2.0 (France) Attribution: tatoeba.org #3824714 (CK) & #4942958 (Hans_Adler),Ich fiel.,I fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #3824714 (CK) & #4942959 (Hans_Adler),Ich fiel hin.,I fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #3824714 (CK) & #4942960 (Hans_Adler),Ich stürzte.,I fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #3824714 (CK) & #4942961 (Hans_Adler),Ich bin hingefallen.,I fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #3824714 (CK) & #4942963 (Hans_Adler),Ich bin gestürzt.,I fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397688 (CK) & #8861618 (mramosch),Ich flüchtete.,I fled.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397688 (CK) & #8861619 (mramosch),Ich bin geflüchtet.,I fled.
CC-BY 2.0 (France) Attribution: tatoeba.org #319990 (CK) & #358382 (MUIRIEL),Ich weiß.,I know.
CC-BY 2.0 (France) Attribution: tatoeba.org #3935374 (gianich73) & #3235040 (Manfredo),Ich habe gelogen.,I lied.
CC-BY 2.0 (France) Attribution: tatoeba.org #1755073 (Eldad) & #4659717 (AC),Ich habe verloren.,I lost.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828610 (CK) & #7141489 (Luiaard),Ich habe bezahlt.,I paid.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828610 (CK) & #7141490 (Luiaard),Ich zahlte.,I paid.
CC-BY 2.0 (France) Attribution: tatoeba.org #7290637 (shekitten) & #4781463 (Tamy),Ich sang.,I sang.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397689 (CK) & #8861620 (mramosch),Ich spuckte.,I spit.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397689 (CK) & #8861621 (mramosch),Ich habe gespuckt.,I spit.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828611 (CK) & #7091837 (Luiaard),Ich schwimme.,I swim.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397690 (CK) & #7091838 (Luiaard),Ich weinte.,I wept.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397690 (CK) & #7091839 (Luiaard),Ich habe geweint.,I wept.
CC-BY 2.0 (France) Attribution: tatoeba.org #442400 (sacredceltic) & #345406 (MUIRIEL),Ich bin 19 Jahre alt.,I'm 19.
CC-BY 2.0 (France) Attribution: tatoeba.org #442400 (sacredceltic) & #442436 (MUIRIEL),Ich bin 19.,I'm 19.
CC-BY 2.0 (France) Attribution: tatoeba.org #433763 (CK) & #341452 (MUIRIEL),Mir geht's gut.,I'm OK.
CC-BY 2.0 (France) Attribution: tatoeba.org #433763 (CK) & #2705321 (Pfirsichbaeumchen),Es geht mir gut.,I'm OK.
CC-BY 2.0 (France) Attribution: tatoeba.org #2765357 (arnxy20) & #1313714 (Pfirsichbaeumchen),Ich bin wach.,I'm up.
CC-BY 2.0 (France) Attribution: tatoeba.org #2765357 (arnxy20) & #6626001 (Felixjp),Ich bin auf.,I'm up.
CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #976 (MUIRIEL),Unmöglich!,No way!
CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #444494 (Espi),Das kommt nicht in Frage!,No way!
CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #722128 (Pfirsichbaeumchen),Das gibt’s doch nicht!,No way!
CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #1670006 (Pfirsichbaeumchen),Ausgeschlossen!,No way!
CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CS) & #2344583 (Vortarulo),In keinster Weise!,No way!
CC-BY 2.0 (France) Attribution: tatoeba.org #373216 (kotobaboke) & #373376 (lilygilder),Wirklich?,Really?
CC-BY 2.0 (France) Attribution: tatoeba.org #373216 (kotobaboke) & #808911 (Manfredo),Echt?,Really?
CC-BY 2.0 (France) Attribution: tatoeba.org #373216 (kotobaboke) & #937379 (Sudajaengi),Im Ernst?,Really?
CC-BY 2.0 (France) Attribution: tatoeba.org #2057650 (nava) & #397489 (MUIRIEL),Danke!,Thanks.
CC-BY 2.0 (France) Attribution: tatoeba.org #4756252 (cairnhead) & #4756673 (raggione),Versuch’s!,Try it.
CC-BY 2.0 (France) Attribution: tatoeba.org #247763 (CK) & #1300435 (cumori),Wir versuchen es.,We try.
CC-BY 2.0 (France) Attribution: tatoeba.org #2107675 (CK) & #2122757 (Pfirsichbaeumchen),Wir haben gewonnen.,We won.
CC-BY 2.0 (France) Attribution: tatoeba.org #24958 (CK) & #397532 (MUIRIEL),Warum ich?,Why me?
CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #1998578 (Tamy),Frag Tom!,Ask Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #1998581 (Tamy),Fragen Sie Tom!,Ask Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #1954263 (CK) & #1998583 (Tamy),Fragt Tom!,Ask Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #433512 (CK) & #366461 (Wolf),Fantastisch!,Awesome!
CC-BY 2.0 (France) Attribution: tatoeba.org #1860752 (CK) & #1737099 (Espi),Entspann dich!,Be cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #2144804 (Pfirsichbaeumchen),Sei nicht ungerecht!,Be fair.
CC-BY 2.0 (France) Attribution: tatoeba.org #1916316 (CK) & #2270545 (Vortarulo),Sei fair!,Be fair.
CC-BY 2.0 (France) Attribution: tatoeba.org #1916315 (CK) & #1998565 (Tamy),Sei nett!,Be kind.
CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #1998565 (Tamy),Sei nett!,Be nice.
CC-BY 2.0 (France) Attribution: tatoeba.org #1916314 (CK) & #1998568 (Tamy),Seien Sie nett!,Be nice.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #547378 (Espi),Geh weg!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #662285 (stefz),Hau ab!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #722834 (Esperantostern),Verschwinde!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #795719 (BraveSentry),Verdufte!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #795721 (BraveSentry),Mach dich fort!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #917506 (Sudajaengi),Zieh Leine!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #917507 (Sudajaengi),Mach dich vom Acker!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #917508 (Sudajaengi),Verzieh dich!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #1203256 (Espi),Verkrümele dich!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2162750 (Vortarulo),Troll dich!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494154 (Pfirsichbaeumchen),Zisch ab!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494156 (Pfirsichbaeumchen),Pack dich!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494157 (Pfirsichbaeumchen),Mach ’ne Fliege!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494158 (Pfirsichbaeumchen),Schwirr ab!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494159 (Pfirsichbaeumchen),Mach die Sause!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494160 (Pfirsichbaeumchen),Scher dich weg!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #2494161 (Pfirsichbaeumchen),Scher dich fort!,Beat it.
CC-BY 2.0 (France) Attribution: tatoeba.org #6049387 (mailohilohi) & #8861563 (mramosch),Verbrenne es!,Burn it.
CC-BY 2.0 (France) Attribution: tatoeba.org #6049387 (mailohilohi) & #8861564 (mramosch),Verbrennt es!,Burn it.
CC-BY 2.0 (France) Attribution: tatoeba.org #6049387 (mailohilohi) & #8861565 (mramosch),Verbrennen Sie es!,Burn it.
CC-BY 2.0 (France) Attribution: tatoeba.org #6049389 (mailohilohi) & #8861459 (mramosch),Vergrabe es!,Bury it.
CC-BY 2.0 (France) Attribution: tatoeba.org #1553532 (CK) & #1688178 (Pfirsichbaeumchen),Ruf mich an.,Call me.
CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #361822 (Wolf),Komm herein.,Come in.
CC-BY 2.0 (France) Attribution: tatoeba.org #348091 (Hertz) & #440148 (MUIRIEL),Herein!,Come in.
CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #4787438 (L3581),Komm!,Come on!
CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #4944467 (Hans_Adler),Kommt!,Come on!
CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #5362934 (RandomUsername),Mach schon!,Come on!
CC-BY 2.0 (France) Attribution: tatoeba.org #24697 (CK) & #5362935 (RandomUsername),Macht schon!,Come on!
CC-BY 2.0 (France) Attribution: tatoeba.org #1954266 (CK) & #6643321 (Felixjp),Komm schon!,Come on.
CC-BY 2.0 (France) Attribution: tatoeba.org #7915580 (CK) & #8641133 (Melang),Fallen lassen!,Drop it.
CC-BY 2.0 (France) Attribution: tatoeba.org #6051416 (mailohilohi) & #8861460 (mramosch),Falte es zusammen!,Fold it.
CC-BY 2.0 (France) Attribution: tatoeba.org #1972633 (CK) & #5227375 (jaz1313),Hol Tom.,Get Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #474497 (Espi),Raus!,Get out!
CC-BY 2.0 (France) Attribution: tatoeba.org #266790 (CK) & #7036913 (driini),Geht raus!,Get out!
CC-BY 2.0 (France) Attribution: tatoeba.org #22016 (Eldad) & #4944450 (Hans_Adler),Geh raus.,Get out.
CC-BY 2.0 (France) Attribution: tatoeba.org #22016 (Eldad) & #7036913 (driini),Geht raus!,Get out.
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #547378 (Espi),Geh weg!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #662285 (stefz),Hau ab!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #722834 (Esperantostern),Verschwinde!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #795719 (BraveSentry),Verdufte!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #795721 (BraveSentry),Mach dich fort!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #917506 (Sudajaengi),Zieh Leine!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #917507 (Sudajaengi),Mach dich vom Acker!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #917508 (Sudajaengi),Verzieh dich!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #1203256 (Espi),Verkrümele dich!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2162750 (Vortarulo),Troll dich!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494154 (Pfirsichbaeumchen),Zisch ab!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494156 (Pfirsichbaeumchen),Pack dich!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494157 (Pfirsichbaeumchen),Mach ’ne Fliege!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494158 (Pfirsichbaeumchen),Schwirr ab!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494159 (Pfirsichbaeumchen),Mach die Sause!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494160 (Pfirsichbaeumchen),Scher dich weg!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433518 (CK) & #2494161 (Pfirsichbaeumchen),Scher dich fort!,Go away!
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #547378 (Espi),Geh weg!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #584844 (MUIRIEL),Verpiss dich!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #662285 (stefz),Hau ab!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #722834 (Esperantostern),Verschwinde!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #795719 (BraveSentry),Verdufte!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #795721 (BraveSentry),Mach dich fort!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #917506 (Sudajaengi),Zieh Leine!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #917507 (Sudajaengi),Mach dich vom Acker!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #917508 (Sudajaengi),Verzieh dich!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #1203256 (Espi),Verkrümele dich!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2162750 (Vortarulo),Troll dich!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494154 (Pfirsichbaeumchen),Zisch ab!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494156 (Pfirsichbaeumchen),Pack dich!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494157 (Pfirsichbaeumchen),Mach ’ne Fliege!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494158 (Pfirsichbaeumchen),Schwirr ab!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494159 (Pfirsichbaeumchen),Mach die Sause!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494160 (Pfirsichbaeumchen),Scher dich weg!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #2494161 (Pfirsichbaeumchen),Scher dich fort!,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #433491 (CK) & #4942536 (Hans_Adler),Gehen Sie weg.,Go away.
CC-BY 2.0 (France) Attribution: tatoeba.org #2230769 (CK) & #6644930 (Felixjp),Geh nach Hause.,Go home.
CC-BY 2.0 (France) Attribution: tatoeba.org #2230769 (CK) & #6644931 (Felixjp),Geh heim.,Go home.
CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #409153 (MUIRIEL),Auf Wiedersehen!,Goodbye!
CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #438753 (xtofu80),Leb wohl!,Goodbye!
CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #647453 (Hans07),Tschüss!,Goodbye!
CC-BY 2.0 (France) Attribution: tatoeba.org #1894404 (Spamster) & #1921063 (Tamy),Nicht nachlassen!,Hang on!
CC-BY 2.0 (France) Attribution: tatoeba.org #1972640 (CK) & #2122378 (Pfirsichbaeumchen),Warte!,Hang on.
CC-BY 2.0 (France) Attribution: tatoeba.org #853153 (piksea) & #867797 (Espi),Er kam.,He came.
CC-BY 2.0 (France) Attribution: tatoeba.org #1580339 (sam_m) & #8597817 (Roujin),Er hat gekündigt.,He quit.
CC-BY 2.0 (France) Attribution: tatoeba.org #672254 (CK) & #672259 (Zaghawa),Er rennt.,He runs.
CC-BY 2.0 (France) Attribution: tatoeba.org #672254 (CK) & #5687977 (eric2),Er läuft.,He runs.
CC-BY 2.0 (France) Attribution: tatoeba.org #266065 (Zifre) & #368205 (Wolf),Hilf mir.,Help me.
CC-BY 2.0 (France) Attribution: tatoeba.org #2187193 (CK) & #2199031 (Pfirsichbaeumchen),Hilf uns!,Help us.
CC-BY 2.0 (France) Attribution: tatoeba.org #2187193 (CK) & #2199032 (Pfirsichbaeumchen),Helft uns!,Help us.
CC-BY 2.0 (France) Attribution: tatoeba.org #2187193 (CK) & #2199033 (Pfirsichbaeumchen),Helfen Sie uns!,Help us.
CC-BY 2.0 (France) Attribution: tatoeba.org #2549834 (CK) & #3298512 (Manfredo),"Hallo, Tom!","Hi, Tom."
CC-BY 2.0 (France) Attribution: tatoeba.org #2203859 (CK) & #2203962 (Pfirsichbaeumchen),Schlage Tom!,Hit Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203859 (CK) & #2203963 (Pfirsichbaeumchen),Schlagt Tom!,Hit Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203859 (CK) & #2203964 (Pfirsichbaeumchen),Schlagen Sie Tom!,Hit Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #547375 (Espi),Nicht bewegen!,Hold it!
CC-BY 2.0 (France) Attribution: tatoeba.org #280203 (CK) & #2122378 (Pfirsichbaeumchen),Warte!,Hold it!
CC-BY 2.0 (France) Attribution: tatoeba.org #7932268 (Seael) & #8861507 (mramosch),Stehen bleiben!,Hold it.
CC-BY 2.0 (France) Attribution: tatoeba.org #7932268 (Seael) & #8861508 (mramosch),Bleib stehen!,Hold it.
CC-BY 2.0 (France) Attribution: tatoeba.org #7932268 (Seael) & #8861509 (mramosch),Bleiben Sie stehen!,Hold it.
CC-BY 2.0 (France) Attribution: tatoeba.org #7932268 (Seael) & #8861510 (mramosch),Bleibt stehen!,Hold it.
CC-BY 2.0 (France) Attribution: tatoeba.org #1357000 (sacredceltic) & #2116085 (Pfirsichbaeumchen),Warten Sie kurz!,Hold on.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203965 (Pfirsichbaeumchen),Umarme Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203967 (Pfirsichbaeumchen),Umarmen Sie Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203968 (Pfirsichbaeumchen),Umarmt Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203969 (Pfirsichbaeumchen),Drückt Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203970 (Pfirsichbaeumchen),Drücken Sie Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #2203860 (CK) & #2203971 (Pfirsichbaeumchen),Drück Tom!,Hug Tom.
CC-BY 2.0 (France) Attribution: tatoeba.org #436281 (lukaszpp) & #472 (MUIRIEL),Ich bin einverstanden.,I agree.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828613 (CK) & #7091838 (Luiaard),Ich weinte.,I cried.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828613 (CK) & #7091839 (Luiaard),Ich habe geweint.,I cried.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828616 (CK) & #8861418 (mramosch),Ich fuhr!,I drove.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828616 (CK) & #8861419 (mramosch),Ich bin gefahren!,I drove.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397692 (CK) & #8861622 (mramosch),Ich fror.,I froze.
CC-BY 2.0 (France) Attribution: tatoeba.org #8397692 (CK) & #8861623 (mramosch),Ich habe gefroren.,I froze.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828618 (CK) & #7091840 (Luiaard),Ich schnarche.,I snore.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828620 (CK) & #8861436 (mramosch),Ich habe geschworen.,I swore.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828620 (CK) & #8861437 (mramosch),Ich schwur.,I swore.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828621 (CK) & #8861425 (mramosch),Ich winkte.,I waved.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828621 (CK) & #8861427 (mramosch),Ich habe gewunken.,I waved.
CC-BY 2.0 (France) Attribution: tatoeba.org #1174876 (CK) & #439366 (Robroy),Ich gehe.,I'll go.
CC-BY 2.0 (France) Attribution: tatoeba.org #5828622 (CK) & #8191860 (driini),Ich bin schlecht.,I'm bad.
CC-BY 2.0 (France) Attribution: tatoeba.org #1120816 (cntrational) & #1137134 (Esperantostern),Ich bin fett.,I'm fat.
